region,model_name,total_images,dice_mean,dice_std,dice_min,dice_max,iou_mean,iou_std,iou_min,iou_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,pixel_accuracy_mean,pixel_accuracy_std,pixel_accuracy_min,pixel_accuracy_max
Caribbean,CoralSCOP,1250,0.18363479179540562,0.28934016202425866,1.0256538321559358e-13,1.0,0.14188104802148763,0.26017218401070025,1.0256538321559358e-13,1.0,0.8747933963697904,0.28507323738218987,2.20010858489883e-12,1.0,0.15204986763707376,0.2745518945642303,1.05178384990183e-13,1.0,0.7466997025847435,0.21891154245417163,0.11633854359388351,1.0
Caribbean,EPFL_b2,1250,0.5552444529238495,0.3121487435451818,1.0288652389908379e-13,0.9871109127998352,0.4471157667125244,0.29519850010244525,1.0288652389908379e-13,0.9745497107505798,0.7675494001389189,0.3006397845235711,1.0288652389908379e-13,1.0,0.5342077646471298,0.32636377716392573,1.3069191182827483e-13,1.0,0.8410713177025319,0.15446519717216597,0.11633854359388351,0.9998444318771362
Caribbean,EPFL_b5,1250,0.5654956828543647,0.3094447241985674,9.196713757295832e-14,1.0,0.4570162314916749,0.29620060953054184,9.196713757295832e-14,1.0,0.7763265243192247,0.28887700236382335,9.196713757295832e-14,1.0,0.5520253438463777,0.33126060552603315,1.4530748566193852e-13,1.0,0.8424939682245255,0.15585554988860909,0.15961432456970215,1.0
Atlantic (non-Caribbean),CoralSCOP,705,0.24000663384921736,0.240566035857122,3.500500941628487e-13,1.0,0.16268414536388262,0.19678722446271396,3.500500941628487e-13,1.0,0.8555761014598017,0.25093804282854304,1.749597515476875e-11,1.0,0.1707899961534264,0.2049096311608987,3.500500941628487e-13,1.0,0.8181970286665233,0.14642310465669334,0.18354956805706024,1.0
Atlantic (non-Caribbean),EPFL_b2,705,0.6415947629756497,0.21401551747200512,6.884112637578488e-12,1.0,0.5052631758705057,0.21282008658302867,6.884112637578488e-12,1.0,0.7390237616948023,0.2144984278937185,6.884112637578488e-12,1.0,0.6398348126181576,0.23934350678093527,2.3014430639012318e-11,1.0,0.8899948875109355,0.08248691483568488,0.5119510293006897,1.0
Atlantic (non-Caribbean),EPFL_b5,705,0.6805390750880419,0.20745786211700273,3.421072453102525e-12,1.0,0.5485008844996868,0.21212470522657104,3.421072453102525e-12,1.0,0.7773408434147298,0.21014386706773233,3.421072453102525e-12,1.0,0.6646680230208306,0.2217152208773918,4.241421797113176e-11,1.0,0.9024111099276982,0.07766429897353898,0.4300767183303833,1.0
Indo-Pacific,CoralSCOP,466,0.16022837764821174,0.22335119123841773,4.273396415378772e-13,0.9920217990875244,0.10904363367511372,0.1849761184708696,4.273396415378772e-13,0.9841699004173279,0.8482259949600376,0.2779105840968287,5.582132846237986e-12,1.0,0.11265335245704365,0.1900342625164953,4.273396415378772e-13,0.9954266548156738,0.6244273935914312,0.2578899949136827,0.0060383896343410015,0.9997844696044922
Indo-Pacific,EPFL_b2,466,0.7154309944527761,0.2388623867584587,1.7779484481894592e-12,0.9878221750259399,0.6011941222211195,0.24291147676802674,1.7779484481894592e-12,0.9759373664855957,0.7127672161044849,0.23817860221105935,1.8024382984413445e-12,1.0,0.7960801386702716,0.23518835786424513,2.1787441642495686e-11,0.9997965693473816,0.8183318370945208,0.15261801862447247,0.0871187373995781,0.999377965927124
Indo-Pacific,EPFL_b5,466,0.7390468905108639,0.23531218479324317,1.1323361519266495e-11,0.9979881644248962,0.6300267872211062,0.24050511026139018,1.1323361519266495e-11,0.9959844350814819,0.7230312758159791,0.2221636961588079,1.14934598297034e-11,1.0,0.8326199812751541,0.22490372210792423,2.1787441642495686e-11,0.9999432563781738,0.8380313519020705,0.13271539201026716,0.11074047535657883,0.9992891550064087
Pacific – Australia,CoralSCOP,808,0.324768861863438,0.2355554875410169,5.890655259584154e-13,1.0,0.2210763795004894,0.19723072600654115,5.890655259584154e-13,1.0,0.866106682743888,0.2027713394753586,3.5534075681908917e-11,1.0,0.23221190813579787,0.20890126514989857,5.890655259584154e-13,1.0,0.7579903017330711,0.19909877075010965,0.006231526844203472,1.0
Pacific – Australia,EPFL_b2,808,0.7230178668341488,0.19432782313492972,1.0151428309068677e-12,0.9968745112419128,0.5961288792163858,0.20054714889078992,1.0151428309068677e-12,0.9937684535980225,0.6918198611832896,0.20850860898825574,1.0151428309068677e-12,1.0,0.8080240835439711,0.18094058859208587,1.3599706430444947e-11,1.0,0.8668097189378621,0.10332090934679877,0.07326515018939972,0.9990206956863403
Pacific – Australia,EPFL_b5,808,0.7341813664446847,0.1819775970708527,1.0053615925875725e-12,0.9968745112419128,0.6074849190039757,0.19484965310218005,1.0053615925875725e-12,0.9937684535980225,0.6713723376539581,0.19706725602674072,1.0053615925875725e-12,1.0,0.8657647748522904,0.16781401426989198,1.7771459304150028e-10,1.0,0.8653617980751661,0.10104727091485398,0.06424883008003235,0.9994208216667175
Pacific – USA,CoralSCOP,728,0.09224820985522836,0.15491529599198145,1.6564932747969302e-13,1.0,0.05769212714545934,0.11761772976386184,1.6564932747969302e-13,1.0,0.9565249404356373,0.14755498965847597,7.924558231842127e-11,1.0,0.059067334402324624,0.12168995100961412,1.6564932747969302e-13,1.0,0.36463247863345893,0.35982497356514975,0.0,1.0
